key,firstChapter,firstEpisode,arrows
Eddard_Stark-1,AGOT-1,S1E01,
Eddard_Stark-2,AGOT-12,S1E02,TRUE
Eddard_Stark-3,AGOT-15,S1E02,TRUE
Eddard_Stark-4,AGOT-20,S1E03,TRUE
Catelyn_Stark-1,AGOT-18,S1E03,TRUE
Catelyn_Stark-2,AGOT-22,S1E04,TRUE
Catelyn_Stark-3,AGOT-28,S1E04,TRUE
Catelyn_Stark-4,AGOT-31,S1E05,
Catelyn_Stark-5,AGOT-34,S1E05,
Catelyn_Stark-6,AGOT-55,,
Catelyn_Stark-7,AGOT-55,,TRUE
Catelyn_Stark-8,AGOT-59,,TRUE
Catelyn_Stark-8a,,S1E09,TRUE
Catelyn_Stark-9,AGOT-63,S1E09,TRUE
Catelyn_Stark-10,AGOT-71,S1E09,
Catelyn_Stark-11,ACOK-22,S2E03,TRUE
Catelyn_Stark-12,ACOK-31,S2E04,TRUE
Catelyn_Stark-13,ACOK-39,,TRUE
Catelyn_Stark-14,,S2E06,TRUE
Catelyn_Stark-15,,S2E08,TRUE
Catelyn_Stark-16,,S3E01,TRUE
Catelyn_Stark-17,,S3E02,TRUE
Catelyn_Stark-18,,S3E03,TRUE
Catelyn_Stark-19,ASOS-45,S3E07,TRUE
Catelyn_Stark-20,ASOS-49,S3E09,TRUE
Catelyn_Stark-21,ASOS-81,,TRUE
Catelyn_Stark-22,AFFC-42,,TRUE
Robb_Stark-1,AGOT-1,S1E01,
Robb_Stark-2,AGOT-55,S1E08,TRUE
Robb_Stark-3,AGOT-59,S1E08,TRUE
Robb_Stark-4,AGOT-59,S1E09,
Robb_Stark-5,AGOT-63,S1E09,
Robb_Stark-6,AGOT-71,S1E10,
Robb_Stark-7,ACOK-32,,
Robb_Stark-8,,S2E06,
Robb_Stark-9,ACOK-54,S2E07,TRUE
Robb_Stark-10,ASOS-2,,
Robb_Stark-11,,S2E08,TRUE
Robb_Stark-12,,S3E01,TRUE
Robb_Stark-13,,S3E02,TRUE
Robb_Stark-14,,S3E03,TRUE
Robb_Stark-15,ASOS-45,S3E07,TRUE
Robb_Stark-16,ASOS-49,S3E09,TRUE
Sansa_Stark-1,AGOT-12,S1E02,
Sansa_Stark-2,AGOT-15,S1E02,
Sansa_Stark-3,AGOT-20,S1E03,TRUE
Sansa_Stark-4,ASOS-61,S4E03,TRUE
Sansa_Stark-5,ASOS-68,S4E04,TRUE
Sansa_Stark-6,ASOS-68,,
Sansa_Stark-7,,S4E05,TRUE
Sansa_Stark-8,ASOS-80,,
Sansa_Stark-9,,S5E02,
Sansa_Stark-10,,S6E01,
Sansa_Stark-11,,S6E04,TRUE
Sansa_Stark-12,,S6E05,
Sansa_Stark-13,,S6E07,
Sansa_Stark-14,,S6E08,
Bran_Stark-1,AGOT-0,,
Bran_Stark-1A,AGOT-37,,
Bran_Stark-2,ACOK-69,S2E10,
Bran_Stark-3,,S3E02,
Bran_Stark-4,,S3E04,
Bran_Stark-5,,S3E06,
Bran_Stark-6,,S3E07,
Bran_Stark-7,,S3E09,
Bran_Stark-8,ASOS-9,,
Bran_Stark-9,ASOS-24,,TRUE
Bran_Stark-10,ASOS-40,,TRUE
Bran_Stark-11,ASOS-56,S3E10,TRUE
Bran_Stark-12,,S4E02,TRUE
Bran_Stark-13,,S4E04,TRUE
Bran_Stark-14,ADWD-4,,TRUE
Bran_Stark-15,,S4E10,TRUE
Bran_Stark-16,,S6E05,TRUE
Bran_Stark-17,,S6E06,TRUE
Bran_Stark-18,,S6E10,TRUE
Arya_Stark-1,AGOT-12,S1E02,TRUE
Arya_Stark-2,AGOT-15,S1E02,TRUE
Arya_Stark-3,AGOT-20,S1E03,
Arya_Stark-4,ACOK-1,S2E02,
Arya_Stark-5,ACOK-5,,
Arya_Stark-6,ACOK-9,,TRUE
Arya_Stark-7,,S2E04,
Arya_Stark-8,ACOK-19,,
Arya_Stark-9,ACOK-26,,
Arya_Stark-10,ASOS-3,S2E10,TRUE
Arya_Stark-11,ASOS-13,S3E02,
Arya_Stark-12,ASOS-17,,TRUE
Arya_Stark-13,ASOS-22,,TRUE
Arya_Stark-14,ASOS-29,,
Arya_Stark-15,ASOS-34,,
Arya_Stark-16,,S3E04,
Arya_Stark-17,ASOS-39,,
Arya_Stark-18,ASOS-43,,
Arya_Stark-19,ASOS-47,,TRUE
Arya_Stark-20,,S3E08,
Arya_Stark-21,ASOS-50,S3E09,TRUE
Arya_Stark-22,ASOS-65,S3E10,TRUE
Arya_Stark-23,ASOS-65,S4E03,TRUE
Arya_Stark-24,ASOS-65,S4E04,TRUE
Arya_Stark-25,,S4E07,TRUE
Arya_Stark-26,,S4E08,TRUE
Arya_Stark-27,,S4E10,TRUE
Arya_Stark-28,ASOS-74,,
Arya_Stark-29,AFFC-6,S5E01,
Arya_Stark-30,,S6E10,TRUE
Rickon_Stark-1,ACOK-69,S2E10,
Rickon_Stark-2,ACOK-69,S2E10,
Rickon_Stark-3,,S3E04,
Rickon_Stark-4,,S3E06,
Rickon_Stark-5,,S3E07,
Rickon_Stark-6,,S3E09,
Rickon_Stark-7,,S6E03,
Jon_Snow-1,AGOT-0,,
Jon_Snow-2,AGOT-19,S1E03,
Jon_Snow-3,AGOT-48,,
Jon_Snow-4,AGOT-52,,
Jon_Snow-5,AGOT-70,,
Jon_Snow-6,AGOT-86,S2E01,
Jon_Snow-7,ACOK-23,S2E01,
Jon_Snow-8,ACOK-34,S2E04,TRUE
Jon_Snow-9,ACOK-51,S2E06,
Jon_Snow-10,ACOK-53,S2E07,
Jon_Snow-11,ASOS-26,S3E06,TRUE
Jon_Snow-12,,S3E07,TRUE
Jon_Snow-13,,S3E09,
Jon_Snow-14,ASOS-41,,
Jon_Snow-15,ASOS-48,S3E10,
Jon_Snow-16,,S5E08,
Jon_Snow-17,,S5E09,
Jon_Snow-18,,S6E07,
Daenerys_Targaryen-1,AGOT-11,S1E02,TRUE
Daenerys_Targaryen-2,AGOT-23,S1E03,TRUE
Daenerys_Targaryen-3,AGOT-36,S1E04,TRUE
Daenerys_Targaryen-4,AGOT-61,S1E08,
Daenerys_Targaryen-5,ACOK-12,S2E01,
Daenerys_Targaryen-6,ACOK-12,S2E04,
Daenerys_Targaryen-7,ASOS-8,S3E01,
Daenerys_Targaryen-8,ASOS-23,S3E01,
Daenerys_Targaryen-9,,S3E05,
Daenerys_Targaryen-10,ASOS-42,S3E07,
Daenerys_Targaryen-11,ASOS-57,S4E01,
Daenerys_Targaryen-12,ASOS-57,S4E03,
Daenerys_Targaryen-13,ADWD-71,S5E10,
Daenerys_Targaryen-14,,S6E01,
Daenerys_Targaryen-15,,S6E03,
Daenerys_Targaryen-16,,S6E06,
Daenerys_Targaryen-17,,S6E08,
Daenerys_Targaryen-18,,S6E10,
Aegon_Targaryen_(son_of_Rhaegar)-1,ADWD-18,,
Aegon_Targaryen_(son_of_Rhaegar)-2,ADWD-22,,
Aegon_Targaryen_(son_of_Rhaegar)-3,ADWD-24,,
Aegon_Targaryen_(son_of_Rhaegar)-4,ADWD-61,,
Tywin_Lannister-1,AGOT-55,S1E07,
Tywin_Lannister-2,AGOT-56,S1E08,
Tywin_Lannister-3,AGOT-69,S1E10,
Tywin_Lannister-4,ACOK-26,S2E04,
Tywin_Lannister-5,ACOK-38,S2E08,
Tywin_Lannister-6,ACOK-62,S2E10,
Jaime_Lannister-1,AGOT-4,S1E01,
Jaime_Lannister-2,AGOT-39,S1E06,TRUE
Jaime_Lannister-3,AGOT-55,S1E07,TRUE
Jaime_Lannister-4,AGOT-63,S1E09,
Jaime_Lannister-5,,S2E03,TRUE
Jaime_Lannister-6,ASOS-1,,TRUE
Jaime_Lannister-7,,S2E10,TRUE
Jaime_Lannister-8,ASOS-11,,
Jaime_Lannister-9,ASOS-21,,TRUE
Jaime_Lannister-10,,S3E02,
Jaime_Lannister-11,,S3E03,
Jaime_Lannister-12,,S3E04,TRUE
Jaime_Lannister-13,ASOS-31,,
Jaime_Lannister-14,,S3E05,
Jaime_Lannister-15,ASOS-44,S3E07,
Jaime_Lannister-16,ASOS-62,S3E10,
Jaime_Lannister-17,ASOS-62,S3E10,
Jaime_Lannister-18,,S5E04,
Jaime_Lannister-19,,S5E06,
Jaime_Lannister-20,,S5E08,
Jaime_Lannister-21,,S5E10,
Jaime_Lannister-22,,S6E06,
Jaime_Lannister-23,AFFC-30,,TRUE
Jaime_Lannister-24,AFFC-33,S6E07,TRUE
Jaime_Lannister-25,ADWD-48,,
Cersei_Lannister-1,AGOT-4,S1E01,
Tyrion_Lannister-1,AGOT-4,S1E01,
Tyrion_Lannister-2,AGOT-19,S1E03,
Tyrion_Lannister-3,AGOT-31,S1E05,
Tyrion_Lannister-4,AGOT-34,S1E05,
Tyrion_Lannister-5,AGOT-56,S1E08,
Tyrion_Lannister-6,ADWD-0,S5E01,
Tyrion_Lannister-7,,S5E02,
Tyrion_Lannister-8,,S5E03,
Tyrion_Lannister-9,,S5E05,
Tyrion_Lannister-10,,S5E06,
Tyrion_Lannister-11,,S5E08,
Tyrion_Lannister-12,ADWD-5,,TRUE
Tyrion_Lannister-13,ADWD-8,,TRUE
Tyrion_Lannister-14,ADWD-14,,TRUE
Tyrion_Lannister-15,ADWD-18,,TRUE
Tyrion_Lannister-16,ADWD-22,,TRUE
Tyrion_Lannister-17,ADWD-27,,TRUE
Tyrion_Lannister-18,ADWD-33,,TRUE
Tyrion_Lannister-19,ADWD-40,,TRUE
Tyrion_Lannister-20,ADWD-47,,TRUE
Tyrion_Lannister-21,,S6E10,TRUE
Joffrey_Baratheon-1,AGOT-4,S1E01,
Tommen_Baratheon-1,AGOT-4,S1E01,
Myrcella_Baratheon-1,AGOT-4,S1E01,
Myrcella_Baratheon-2,ACOK-41,S2E06,
Myrcella_Baratheon-3,AFFC-2,S2E07,
Myrcella_Baratheon-4,AFFC-21,,
Myrcella_Baratheon-5,AFFC-40,,
Myrcella_Baratheon-6,,S5E10,
Myrcella_Baratheon-7,,S6E01,
Robert_Baratheon-1,AGOT-4,,
Robert_Baratheon-2,AGOT-43,S1E06,
Stannis_Baratheon-1,AGOT-4,S1E10,
Stannis_Baratheon-2,ACOK-22,S2E04,
Stannis_Baratheon-3,,S4E06,TRUE
Stannis_Baratheon-4,,S4E10,TRUE
Stannis_Baratheon-5,ASOS-73,,TRUE
Stannis_Baratheon-6,,S5E05,
Stannis_Baratheon-7,,S5E08,
Stannis_Baratheon-8,,S5E10,
Stannis_Baratheon-9,ADWD-26,,
Stannis_Baratheon-10,ADWD-42,,
Renly_Baratheon-1,AGOT-15,,
Renly_Baratheon-2,AGOT-43,S1E06,
Renly_Baratheon-3,AGOT-49,S1E07,
Renly_Baratheon-4,ACOK-31,S2E04,
Theon_Greyjoy-1,AGOT-1,S1E01,
Theon_Greyjoy-2,AGOT-55,S1E08,
Theon_Greyjoy-3,AGOT-59,S1E09,
Theon_Greyjoy-4,AGOT-63,S1E10,
Theon_Greyjoy-5,AGOT-71,S1E10,
Theon_Greyjoy-6,ACOK-11,S2E02,TRUE
Theon_Greyjoy-7,ACOK-37,S2E06,TRUE
Theon_Greyjoy-8,ACOK-37,,
Theon_Greyjoy-9,,S2E06,TRUE
Theon_Greyjoy-10,ACOK-46,,
Theon_Greyjoy-11,,S2E07,
Theon_Greyjoy-12,ASOS-49,S3E10,
Theon_Greyjoy-13,ADWD-62,,
Theon_Greyjoy-14,,S6E01,
Theon_Greyjoy-15,,S6E04,TRUE
Theon_Greyjoy-16,,S6E05,
Theon_Greyjoy-17,,S6E07,TRUE
Theon_Greyjoy-18,,S6E09,
Theon_Greyjoy-19,,S6E10,
Brienne_of_Tarth-1,ACOK-22,S2E03,
Brienne_of_Tarth-2,ACOK-31,S2E04,
Brienne_of_Tarth-3,,S2E06,TRUE
Brienne_of_Tarth-4,ACOK-39,,
Brienne_of_Tarth-5,ASOS-1,,
Brienne_of_Tarth-6,,S2E10,
Brienne_of_Tarth-7,ASOS-11,,
Brienne_of_Tarth-8,ASOS-21,,
Brienne_of_Tarth-9,,S3E02,
Brienne_of_Tarth-10,,S3E03,
Brienne_of_Tarth-11,,S3E04,TRUE
Brienne_of_Tarth-12,ASOS-31,,
Brienne_of_Tarth-13,,S3E05,
Brienne_of_Tarth-14,ASOS-62,S3E10,TRUE
Brienne_of_Tarth-15,ASOS-62,S3E10,TRUE
Brienne_of_Tarth-16,,S4E05,TRUE
Brienne_of_Tarth-17,,S4E07,TRUE
Brienne_of_Tarth-18,,S4E10,
Brienne_of_Tarth-19,,S5E03,
Brienne_of_Tarth-20,,S5E05,TRUE
Brienne_of_Tarth-21,,S5E10,
Brienne_of_Tarth-22,,S6E01,TRUE
Brienne_of_Tarth-23,,S6E04,
Brienne_of_Tarth-24,,S6E05,
Brienne_of_Tarth-25,,S6E08,
Brienne_of_Tarth-26,,S6E08,
Brienne_of_Tarth-27,AFFC-9,,
Brienne_of_Tarth-28,AFFC-14,,
Brienne_of_Tarth-29,AFFC-20,,
Brienne_of_Tarth-30,AFFC-31,,
Brienne_of_Tarth-31,AFFC-37,,
Brienne_of_Tarth-32,AFFC-42,,
Brienne_of_Tarth-33,ADWD-48,,
Davos-1,ACOK-0,,
Davos-2,ACOK-10,S2E04,
Davos-3,ACOK-22,S2E04,
Davos-3a,,S2E08,TRUE
Davos-4,ACOK-58,S2E09,
Davos-5,ASOS-5,S3E01,
Davos-6,ASOS-10,S3E01,
Davos-7,,S4E06,TRUE
Davos-8,,S4E10,TRUE
Davos-9,,S5E05,
Davos-10,,S5E08,
Davos-11,,S6E07,
Davos-12,,S6E08,
Davos-13,ADWD-9,,
Davos-14,ADWD-15,,
Samwell_Tarly-1,AGOT-26,S1E04,TRUE
Samwell_Tarly-2,AGOT-48,S1E10,
Samwell_Tarly-3,ACOK-13,S2E01,
Samwell_Tarly-4,ACOK-23,S2E01,TRUE
Samwell_Tarly-5,ACOK-34,S2E04,
Samwell_Tarly-6,ASOS-18,S3E01,
Samwell_Tarly-7,ASOS-33,S3E03,
Samwell_Tarly-8,ASOS-46,S3E06,
Samwell_Tarly-9,ASOS-46,S3E08,
Samwell_Tarly-10,ASOS-46,S3E09,
Samwell_Tarly-11,ASOS-56,S3E10,TRUE
Samwell_Tarly-12,ASOS-75,S3E10,TRUE
Samwell_Tarly-13,,S4E03,
Samwell_Tarly-14,AFFC-15,S5E10,
Samwell_Tarly-15,AFFC-26,,
Samwell_Tarly-16,ADWD-0,,
Samwell_Tarly-17,,S6E03,TRUE
Samwell_Tarly-18,,S6E06,
Samwell_Tarly-19,ADWD-10,,
Asha_Greyjoy-1,ACOK-24,S2E06,
Asha_Greyjoy-2,ACOK-56,S2E08,
Asha_Greyjoy-3,,S4E06,
Asha_Greyjoy-4,AFFC-11,S6E04,
Asha_Greyjoy-5,AFFC-18,S6E05,
Asha_Greyjoy-6,ADWD-26,,
Asha_Greyjoy-7,ADWD-26,,
Asha_Greyjoy-8,ADWD-42,,
Asha_Greyjoy-9,,S6E07,
Asha_Greyjoy-10,,S6E09,TRUE
Asha_Greyjoy-11,,S6E10,
Victarion_Greyjoy-1,ACOK-24,S2E06,
Victarion_Greyjoy-2,AFFC-18,,TRUE
Victarion_Greyjoy-3,AFFC-29,,TRUE
Victarion_Greyjoy-4,ADWD-56,,TRUE
Victarion_Greyjoy-5,ADWD-63,,TRUE
Arianne_Martell-1,AFFC-21,,
Arianne_Martell-2,AFFC-40,,
Petyr_Baelish-1,ACOK-36,S2E04,
Petyr_Baelish-2,,S3E07,
Petyr_Baelish-3,ASOS-19,,
Petyr_Baelish-4,ASOS-68,,
Petyr_Baelish-5,ASOS-80,,
Petyr_Baelish-6,,S5E02,
Petyr_Baelish-7,,S5E03,
Petyr_Baelish-8,,S5E04,
Petyr_Baelish-9,,S5E06,
Petyr_Baelish-10,,S5E06,
Petyr_Baelish-11,,S6E05,
Petyr_Baelish-12,,S6E09,
Viserys_Targaryen-1,AGOT-11,S1E02,TRUE
Viserys_Targaryen-2,AGOT-23,S1E03,TRUE
Viserys_Targaryen-3,AGOT-36,S1E04,TRUE
Drogon-1,ACOK-12,S2E01,
Drogon-2,ACOK-27,S2E04,
Drogon-3,ASOS-8,S3E01,
Drogon-4,ASOS-23,S3E01,
Drogon-5,,S3E05,
Drogon-6,ASOS-42,S3E07,
Drogon-7,ASOS-57,S4E01,
Drogon-8,ASOS-57,S4E03,
Drogon-9,ADWD-71,S5E10,
Drogon-10,,S6E01,
Drogon-11,,S6E03,
Drogon-12,,S6E06,
Drogon-13,,S6E08,
Drogon-14,,S6E10,
Rhaegal-1,ACOK-12,S2E01,
Rhaegal-2,ACOK-27,S2E04,
Rhaegal-3,ASOS-8,S3E01,
Rhaegal-4,ASOS-23,S3E01,
Rhaegal-5,,S3E05,
Rhaegal-6,ASOS-42,S3E07,
Rhaegal-7,ASOS-57,S4E01,
Rhaegal-8,ASOS-57,S4E03,
Viserion-1,ACOK-12,S2E01,
Viserion-2,ACOK-27,S2E04,
Viserion-3,ASOS-8,S3E01,
Viserion-4,ASOS-23,S3E01,
Viserion-5,,S3E05,
Viserion-6,ASOS-42,S3E07,
Viserion-7,ASOS-57,S4E01,
Viserion-8,ASOS-57,S4E03,
Loras_Tyrell-1,ACOK-22,S2E03,TRUE
Loras_Tyrell-2,ACOK-31,S2E03,
Loras_Tyrell-3,ACOK-31,,
Loras_Tyrell-4,ACOK-62,S2E10,TRUE
Loras_Tyrell-5,AFFC-32,,TRUE
Margaery_Tyrell-1,ACOK-22,S2E03,TRUE
Margaery_Tyrell-2,ACOK-31,S2E03,
Margaery_Tyrell-3,ACOK-31,,
Margaery_Tyrell-4,ACOK-62,S2E10,TRUE
Olenna_Tyrell-1,ASOS-6,S3E02,
Olenna_Tyrell-2,,S6E10,TRUE
Euron_Greyjoy-1,AFFC-18,S6E05,
Euron_Greyjoy-2,AFFC-29,,TRUE
Barristan_Selmy-1,AGOT-15,,
Barristan_Selmy-2,AGOT-57,S1E08,
Barristan_Selmy-3,AGOT-57,S3E01,TRUE
Barristan_Selmy-4,AGOT-57,S3E05,
Barristan_Selmy-5,AGOT-57,S3E07,
Barristan_Selmy-6,AGOT-57,S4E01,
Barristan_Selmy-7,ASOS-57,S4E03,
Jeor_Mormont-1,ACOK-13,,
Jeor_Mormont-2,ACOK-23,S2E01,
Jeor_Mormont-3,ACOK-34,S2E04,
Jeor_Mormont-4,ASOS-18,S3E01,
Jeor_Mormont-5,ASOS-33,S3E03,TRUE
Jorah_Mormont-1,AGOT-11,S1E02,TRUE
Jorah_Mormont-2,AGOT-23,S1E03,TRUE
Jorah_Mormont-3,AGOT-36,S1E04,TRUE
Jorah_Mormont-4,AGOT-61,S1E08,TRUE
Jorah_Mormont-5,ACOK-12,S2E01,TRUE
Jorah_Mormont-6,ACOK-27,S2E04,TRUE
Jorah_Mormont-7,ASOS-8,S3E01,TRUE
Jorah_Mormont-8,ASOS-23,S3E01,TRUE
Jorah_Mormont-9,,S3E05,TRUE
Jorah_Mormont-10,ASOS-42,S3E07,
Jorah_Mormont-11,ASOS-57,S4E01,
Jorah_Mormont-12,ASOS-57,S4E03,
Jorah_Mormont-13,ASOS-71,,
Jorah_Mormont-14,ADWD-22,S5E03,TRUE
Jorah_Mormont-15,ADWD-27,S5E03,TRUE
Jorah_Mormont-16,,S5E05,
Jorah_Mormont-17,,S5E06,
Jorah_Mormont-18,ADWD-33,,
Jorah_Mormont-19,ADWD-40,,TRUE
Jorah_Mormont-20,ADWD-47,,TRUE
Jorah_Mormont-21,,S5E08,TRUE
Jorah_Mormont-22,,S5E10,TRUE
Jorah_Mormont-23,,S6E01,TRUE
Jorah_Mormont-24,,S6E04,TRUE
Jorah_Mormont-25,,S6E05,TRUE
Quentyn_Martell-1,ACOK-42,,
Quentyn_Martell-2,AFFC-13,,TRUE
Quentyn_Martell-3,ADWD-6,,TRUE
Quentyn_Martell-4,ADWD-25,,TRUE
Quentyn_Martell-5,ADWD-36,,TRUE
Oberyn_Martell-1,ASOS-38,S4E01,TRUE
Ellaria_Sand-1,ASOS-38,S4E01,
Ellaria_Sand-2,TWOW-?,,
Ellaria_Sand-3,,S5E04,
Sandor_Clegane-1,AGOT-4,S1E01,
Sandor_Clegane-2,ACOK-62,S2E09,TRUE
Sandor_Clegane-3,ASOS-29,,TRUE
Sandor_Clegane-4,,S3E03,TRUE
Sandor_Clegane-5,ASOS-34,,
Sandor_Clegane-6,,S3E05,
Sandor_Clegane-7,ASOS-39,S3E08,
Sandor_Clegane-8,ASOS-43,S3E08,
Sandor_Clegane-9,ASOS-47,S3E08,
Sandor_Clegane-10,ASOS-50,S3E09,TRUE
Sandor_Clegane-11,ASOS-65,S3E10,
Sandor_Clegane-12,ASOS-65,S4E03,
Sandor_Clegane-13,ASOS-65,S4E04,
Sandor_Clegane-14,,S4E07,
Sandor_Clegane-15,,S4E08,
Sandor_Clegane-16,,S4E10,
Sandor_Clegane-17,AFFC-31,,
Sandor_Clegane-18,,S6E07,
Sandor_Clegane-19,,S6E08,
Gregor_Clegane-1,AGOT-29,S1E04,
Gregor_Clegane-2,AGOT-55,S1E07,TRUE
Gregor_Clegane-3,AGOT-56,S1E08,
Gregor_Clegane-4,AGOT-69,S1E10,
Gregor_Clegane-5,ACOK-7,,
Gregor_Clegane-6,ACOK-19,,
Gregor_Clegane-7,ACOK-26,S2E04,
Gregor_Clegane-8,ACOK-45,,
Gregor_Clegane-9,ACOK-55,S3E03,
Gregor_Clegane-10,ASOS-19,,TRUE
Gregor_Clegane-11,ASOS-53,,
Gregor_Clegane-12,ASOS-70,S4E07,TRUE
Roose_Bolton-1,AGOT-55,,